species,smiles,parent,parent 2,isotopologue,source,N,logN,final vectors 70,final vectors iso 70
CH3NCO,CN=C=O,Main,Main,n,Ligertink et al. (2017) (make sure correct),4.00E+15,15.6,"[1.4263514, 0.921404, 2.1009543, -2.0346017, 7.1542683, -1.1662381, -4.8517637, 2.6509416, 5.1845436, -0.10268038, 4.591727, -2.3939323, 1.2652949, 0.54352975, 3.7178743, -3.4425926, -2.2923276, 1.4785398, 1.8281898, -1.3095685, -1.2984202, 0.89817, -0.034904987, 1.121904, -3.9177437, -2.4162107, -4.0475597, 2.8772326, 3.3032053, -1.8715572, 0.20254348, -5.0046034, 2.479788, -0.68667597, -1.4594737, -0.105354264, -1.7321279, 3.2159634, -1.9417931, 0.2991438, 0.62919927, -2.7181463, -1.5286648, -0.036348477, 1.2513602, -5.6873074, 4.345044, -1.0203434, -0.9352716, 4.1029897, 1.909455, 0.4435513, 1.9958993, 2.2764788, 2.4124918, -0.10053222, -2.997332, 1.2064271, -2.7833889, -0.35169083, -0.09938377, 0.7372618, 1.3342178, 5.7586656, -2.2534697, -2.8869019, -0.7946678, 1.4323685, 0.13214692, -1.6015]","[1.4263514, 0.921404, 2.1009543, -2.0346017, 7.1542683, -1.1662381, -4.8517637, 2.6509416, 5.1845436, -0.10268038, 4.591727, -2.3939323, 1.2652949, 0.54352975, 3.7178743, -3.4425926, -2.2923276, 1.4785398, 1.8281898, -1.3095685, -1.2984202, 0.89817, -0.034904987, 1.121904, -3.9177437, -2.4162107, -4.0475597, 2.8772326, 3.3032053, -1.8715572, 0.20254348, -5.0046034, 2.479788, -0.68667597, -1.4594737, -0.105354264, -1.7321279, 3.2159634, -1.9417931, 0.2991438, 0.62919927, -2.7181463, -1.5286648, -0.036348477, 1.2513602, -5.6873074, 4.345044, -1.0203434, -0.9352716, 4.1029897, 1.909455, 0.4435513, 1.9958993, 2.2764788, 2.4124918, -0.10053222, -2.997332, 1.2064271, -2.7833889, -0.35169083, -0.09938377, 0.7372618, 1.3342178, 5.7586656, -2.2534697, -2.8869019, -0.7946678, 1.4323685, 0.13214692, -1.6015, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
aGg' - (CH2OH)2,OCCO,Main,Main,n,Jorgensen et al. (16),5.20E+16,16.72,"[-3.4335377, 2.1702495, -1.4523793, -0.15302743, 4.192414, 0.6268252, -5.4231462, 0.47349596, 3.1570034, 3.841373, 1.9429681, -3.055963, 0.6111015, 3.089204, 3.3331394, 0.73849714, -5.3867593, -0.4997785, 3.554605, -1.1236649, 2.262304, -0.64482313, 4.110722, 1.3966966, -6.0047445, -2.8969655, -2.8015294, 1.574564, 3.430512, 0.07278457, 2.7481089, -2.4854264, -1.6920642, -0.9583691, 1.534446, 0.7019497, -4.9277816, 1.615773, -1.2141455, 2.231921, 0.6441864, 0.23216826, 0.036097016, 0.6063036, 5.4027305, -4.9159937, 6.095113, -2.8214746, 1.0431883, 0.7733574, -1.3932209, -1.2645543, 0.7879746, -0.37237042, 2.3505707, -1.7956405, -3.2483995, -1.0935915, 0.48811138, -0.02382683, -0.9821264, 0.93622994, 2.0287342, 7.2872877, 0.63992655, -2.3796897, 0.3935001, 1.7759256, -0.39223927, 2.053556]","[-3.4335377, 2.1702495, -1.4523793, -0.15302743, 4.192414, 0.6268252, -5.4231462, 0.47349596, 3.1570034, 3.841373, 1.9429681, -3.055963, 0.6111015, 3.089204, 3.3331394, 0.73849714, -5.3867593, -0.4997785, 3.554605, -1.1236649, 2.262304, -0.64482313, 4.110722, 1.3966966, -6.0047445, -2.8969655, -2.8015294, 1.574564, 3.430512, 0.07278457, 2.7481089, -2.4854264, -1.6920642, -0.9583691, 1.534446, 0.7019497, -4.9277816, 1.615773, -1.2141455, 2.231921, 0.6441864, 0.23216826, 0.036097016, 0.6063036, 5.4027305, -4.9159937, 6.095113, -2.8214746, 1.0431883, 0.7733574, -1.3932209, -1.2645543, 0.7879746, -0.37237042, 2.3505707, -1.7956405, -3.2483995, -1.0935915, 0.48811138, -0.02382683, -0.9821264, 0.93622994, 2.0287342, 7.2872877, 0.63992655, -2.3796897, 0.3935001, 1.7759256, -0.39223927, 2.053556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
CH3CHO,CC=O,Main,Main,n,Jorgensen et al. (18),1.20E+17,17.08,"[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504]","[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CH3CDO,[2H]C(C)=O,CC=O,CC=O,y,Jorgensen et al. (18),9.60E+15,15.98227123,"[-5.2578855, 0.9885383, 0.24893928, -1.3796425, 3.5684311, 1.5351434, -3.167085, 2.7955837, 2.0918515, 0.6660758, 2.3904123, -0.26147217, 1.8136592, -0.32212484, 1.0883974, -0.73645484, -4.254706, 4.44929, 2.8262029, -2.9029057, -0.56158805, 0.08582839, 3.0790796, -2.399462, -4.899315, -2.2116258, -1.1820135, 3.2140849, 1.4298435, -1.2928183, 0.5106463, -2.1244226, -0.8665811, -0.79104704, -2.8962636, -0.14582473, -1.3852854, 3.5589583, 0.23802575, -0.094984174, 0.42466232, -3.7739801, -0.7497061, -4.135636, 0.6980772, -1.7104558, 2.5389018, 0.55329347, 1.0491257, 1.5981851, -1.7196581, -2.2648728, 1.8501546, 3.122367, 1.4897645, 2.1283984, -5.587154, -2.6219125, -1.9896094, -0.5711752, -0.1957635, 0.19386928, 2.9691398, 4.712424, -1.8562545, 0.22848019, 0.15329966, 1.0604681, -0.88387144, -1.0047033]","[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 1, 1]"
(13C)H3CHO,[13CH3]C=O,CC=O,CC=O,y,Jorgensen et al. (18),1.80E+15,15.25527251,"[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504]","[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0]"
CH3(13C)HO,C[13CH]=O,CC=O,CC=O,y,Jorgensen et al. (18),1.80E+15,15.25527251,"[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504]","[-2.5140278, 0.13065019, -0.6287278, -0.9602413, 3.9290254, 0.68100667, -2.870499, 1.0741194, 1.6525911, 1.0858893, 2.0300446, 0.72671247, 0.99732137, 0.38066435, 3.471517, 0.47339153, -3.8067546, 1.9993712, 2.0548866, -0.7979047, -0.4890032, 0.0928773, 1.8394923, -0.40267533, -5.0078073, -1.9043669, -1.4477501, 2.3028007, 1.0623995, -0.6378033, 0.16053018, -2.9335241, 0.3925027, -0.14177762, -1.7860414, -0.078452505, -1.3210931, 2.813409, -0.7058298, 0.026677847, -0.0901874, -3.6525764, 0.455594, -2.5648513, 0.89151585, -2.0164747, 2.9827523, 0.95021236, 0.31185123, 1.1212571, -0.89738023, -1.0569057, 1.9103742, 1.7483348, 2.0106258, 1.9640992, -3.1425197, -0.75226635, -0.03683731, -0.86892414, -0.39264604, 1.1490736, 0.935754, 3.4006004, -0.77136976, -0.34084162, 0.096734196, 0.087673515, -0.8118764, -0.6363504, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 0, 0]"
CH3C(O)NH2,CC(N)=O,Main,Main,n,Ligertink et al. (2018),9.00E+14,14.95,"[-2.5569286, -0.85687035, -0.20885377, -1.1873785, 4.0933404, -1.4025781, -2.5289798, 0.67848676, 3.0263171, 1.7961856, 5.74008, -1.3173193, 3.5071182, 0.7494325, 4.708583, -0.8216307, -4.4474525, 1.6290118, 4.671252, -0.9854398, -1.4484553, 1.0478526, 2.1615558, -0.50942534, -1.5425678, -4.296492, -1.0418043, 0.47588134, 3.7204359, 0.73337305, -0.7262535, -4.4427495, 1.0451367, -3.3594823, 1.7005286, -0.9824329, -3.2668266, 1.9268835, 0.6578394, 1.4854212, -2.1396496, -1.5799075, 0.20678103, 0.058364138, 2.1509953, -1.9870057, 5.0412455, -0.7310815, 2.0880632, 1.6207557, -2.1919904, -0.34690553, 0.83790684, 0.36854926, 2.0900533, 1.2724106, -2.394305, -1.3897663, -0.6005274, -1.4039329, -2.4352582, 1.1481526, 2.2075806, 4.2933536, -0.29615608, -1.9588083, 0.72138184, 0.43081522, -1.3460424, -0.8019432]","[-2.5569286, -0.85687035, -0.20885377, -1.1873785, 4.0933404, -1.4025781, -2.5289798, 0.67848676, 3.0263171, 1.7961856, 5.74008, -1.3173193, 3.5071182, 0.7494325, 4.708583, -0.8216307, -4.4474525, 1.6290118, 4.671252, -0.9854398, -1.4484553, 1.0478526, 2.1615558, -0.50942534, -1.5425678, -4.296492, -1.0418043, 0.47588134, 3.7204359, 0.73337305, -0.7262535, -4.4427495, 1.0451367, -3.3594823, 1.7005286, -0.9824329, -3.2668266, 1.9268835, 0.6578394, 1.4854212, -2.1396496, -1.5799075, 0.20678103, 0.058364138, 2.1509953, -1.9870057, 5.0412455, -0.7310815, 2.0880632, 1.6207557, -2.1919904, -0.34690553, 0.83790684, 0.36854926, 2.0900533, 1.2724106, -2.394305, -1.3897663, -0.6005274, -1.4039329, -2.4352582, 1.1481526, 2.2075806, 4.2933536, -0.29615608, -1.9588083, 0.72138184, 0.43081522, -1.3460424, -0.8019432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
SO,O=S,Main,Main,n,Drozdovskaya (18),4.40E+14,14.64,"[-1.1949636, -0.20450902, 1.0800139, -0.59290874, 1.0774766, -1.0363009, -1.0616316, -0.1723475, 0.549117, 0.7571333, 1.1304176, -0.20223895, 0.14476377, -0.18134436, 1.1982734, -0.2642065, -0.1647566, -0.12535165, 2.6167736, -0.07576814, 0.31094792, 1.531507, 0.19290957, -0.37682745, -0.688773, -0.008094311, -0.76847345, 1.1021568, 0.19959742, -0.27758896, 0.27135524, -1.4591936, 1.663803, -0.62434924, 0.66664433, -0.8284435, -1.3543153, 0.69888604, -0.3084691, 0.112544596, -0.5738598, -1.8087746, 0.70177937, -1.4608792, 0.8512453, -1.1497834, 0.5546408, -1.2858582, -1.0913849, 1.6974809, -0.48813117, -0.012046106, -0.0023179352, 1.4331479, 0.35354596, 0.30265135, -1.2197633, 0.25151575, -0.013927251, 0.038096428, -1.3487412, 0.6123662, 0.4930876, 1.3008403, 0.69407, -1.8025353, 1.1386762, 0.3167193, -0.07127488, -0.22776328]","[-1.1949636, -0.20450902, 1.0800139, -0.59290874, 1.0774766, -1.0363009, -1.0616316, -0.1723475, 0.549117, 0.7571333, 1.1304176, -0.20223895, 0.14476377, -0.18134436, 1.1982734, -0.2642065, -0.1647566, -0.12535165, 2.6167736, -0.07576814, 0.31094792, 1.531507, 0.19290957, -0.37682745, -0.688773, -0.008094311, -0.76847345, 1.1021568, 0.19959742, -0.27758896, 0.27135524, -1.4591936, 1.663803, -0.62434924, 0.66664433, -0.8284435, -1.3543153, 0.69888604, -0.3084691, 0.112544596, -0.5738598, -1.8087746, 0.70177937, -1.4608792, 0.8512453, -1.1497834, 0.5546408, -1.2858582, -1.0913849, 1.6974809, -0.48813117, -0.012046106, -0.0023179352, 1.4331479, 0.35354596, 0.30265135, -1.2197633, 0.25151575, -0.013927251, 0.038096428, -1.3487412, 0.6123662, 0.4930876, 1.3008403, 0.69407, -1.8025353, 1.1386762, 0.3167193, -0.07127488, -0.22776328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
CO,[C-]#[O+],Main,Main,n,Drozdovskaya (19),1.00E+20,20,"[1.3695064, 0.88627744, 4.0873847, 0.103379145, -0.12702659, 0.075609416, -0.5094648, 2.1266525, 3.4996789, 2.4984202, -0.5757253, 0.4829058, 0.4711895, 0.1972152, 3.0926614, 0.8800732, 1.372844, 2.0558398, 4.6497965, 0.68064785, -1.0565996, 0.266812, 0.23898508, -0.35747012, -0.18219534, 0.9530047, 0.78409517, 2.7267332, 0.64722806, -2.3887322, -0.053023692, -0.18072243, 0.25584012, 0.11475918, -2.653389, 1.2264055, -1.4310408, 1.947665, -0.5886766, 1.7347853, 0.42343396, -2.2536416, 1.5640669, -1.2819766, -1.9484142, 0.2769828, 0.5829179, 0.5264785, -1.2694125, 1.0257821, -0.6144099, -0.18425351, -2.6923637, -0.116647065, 0.86795956, -0.63627195, -3.5200336, 0.3009872, 0.31811374, -0.09917462, 1.0903504, -0.4864707, 3.0734417, 1.2390528, 0.61272395, -0.052924186, -2.0639422, -0.8864837, -0.33803496, -2.6257687]","[1.3695064, 0.88627744, 4.0873847, 0.103379145, -0.12702659, 0.075609416, -0.5094648, 2.1266525, 3.4996789, 2.4984202, -0.5757253, 0.4829058, 0.4711895, 0.1972152, 3.0926614, 0.8800732, 1.372844, 2.0558398, 4.6497965, 0.68064785, -1.0565996, 0.266812, 0.23898508, -0.35747012, -0.18219534, 0.9530047, 0.78409517, 2.7267332, 0.64722806, -2.3887322, -0.053023692, -0.18072243, 0.25584012, 0.11475918, -2.653389, 1.2264055, -1.4310408, 1.947665, -0.5886766, 1.7347853, 0.42343396, -2.2536416, 1.5640669, -1.2819766, -1.9484142, 0.2769828, 0.5829179, 0.5264785, -1.2694125, 1.0257821, -0.6144099, -0.18425351, -2.6923637, -0.116647065, 0.86795956, -0.63627195, -3.5200336, 0.3009872, 0.31811374, -0.09917462, 1.0903504, -0.4864707, 3.0734417, 1.2390528, 0.61272395, -0.052924186, -2.0639422, -0.8864837, -0.33803496, -2.6257687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
C(17O),[C-]#[17O+],[C-]#[O+],[C-]#[O+],y,Drozdovskaya (19),5.00E+16,16.69897,"[0.31706727, 0.44704235, 1.2042252, -0.24898748, 0.3189075, 0.6793498, -0.14576037, 1.0046988, 1.7088538, 0.9156272, 0.0069245854, 0.13339148, -0.20390195, 0.16424963, 0.6815017, -0.31313002, -0.13145141, 0.41699627, 1.3236653, 0.4929924, -0.380997, 0.2888866, 0.38418514, 0.35412768, 0.3721636, 0.028488494, 0.16450104, 0.8332442, 0.34876716, -0.575684, 0.18346211, -0.1833307, 0.35618466, -0.54902387, -1.3527001, 0.35392845, -0.40754592, 1.2555175, -0.36282125, 0.43503368, 0.24607775, -0.5464816, 0.19219561, -0.31458312, -0.6590358, 0.08135907, -0.35747313, 0.066198036, -0.40936655, 0.363196, -0.48544627, 0.060921807, -0.39750803, -0.17455167, 0.32462436, -0.24604115, -0.6725043, -0.14100032, -0.120339945, -0.45546898, 0.13779062, 0.11730655, 1.0242323, 1.0332711, 0.1716481, 0.5248135, -1.1446321, 0.16567384, 0.073400974, -0.9072622]","[1.3695064, 0.88627744, 4.0873847, 0.103379145, -0.12702659, 0.075609416, -0.5094648, 2.1266525, 3.4996789, 2.4984202, -0.5757253, 0.4829058, 0.4711895, 0.1972152, 3.0926614, 0.8800732, 1.372844, 2.0558398, 4.6497965, 0.68064785, -1.0565996, 0.266812, 0.23898508, -0.35747012, -0.18219534, 0.9530047, 0.78409517, 2.7267332, 0.64722806, -2.3887322, -0.053023692, -0.18072243, 0.25584012, 0.11475918, -2.653389, 1.2264055, -1.4310408, 1.947665, -0.5886766, 1.7347853, 0.42343396, -2.2536416, 1.5640669, -1.2819766, -1.9484142, 0.2769828, 0.5829179, 0.5264785, -1.2694125, 1.0257821, -0.6144099, -0.18425351, -2.6923637, -0.116647065, 0.86795956, -0.63627195, -3.5200336, 0.3009872, 0.31811374, -0.09917462, 1.0903504, -0.4864707, 3.0734417, 1.2390528, 0.61272395, -0.052924186, -2.0639422, -0.8864837, -0.33803496, -2.6257687, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
HONO,O=NO,Main,Main,n,Coutens et al. (19),9.00E+14,14.95,"[-3.3285553, 0.8857641, 0.4385534, -1.6608123, 2.2697577, -0.38135636, -5.3052316, 2.146947, 4.1628394, -0.6649455, 2.531152, -1.125809, 0.44895807, 0.30964437, 1.896449, -2.5393019, -2.3782983, 2.1150985, 3.934679, -0.7732538, 1.3591082, -0.47044626, 1.4040657, -0.11366249, -3.0462897, -1.2490606, -1.1996312, 0.4813996, 1.8679603, -0.3495314, -1.1910013, -3.8392804, 0.5459402, -1.6022748, -0.6363451, 0.42899722, -0.7431474, 1.4542229, -0.8791187, -0.073412344, -0.45697534, -1.4065876, -1.3334005, 0.15798932, 0.77662814, -3.0942974, 4.7180214, -2.1129804, 0.7804094, 3.3973303, 0.16562569, 0.82958055, 1.1772937, 0.47720283, 1.443511, -2.108344, -2.5628622, 0.41694754, 1.5349295, -0.94301146, -1.3643363, 2.410459, -0.31054676, 3.4787502, -1.6495079, -1.5547762, -0.16594195, -0.0005457194, 0.9166396, -1.4434748]","[-3.3285553, 0.8857641, 0.4385534, -1.6608123, 2.2697577, -0.38135636, -5.3052316, 2.146947, 4.1628394, -0.6649455, 2.531152, -1.125809, 0.44895807, 0.30964437, 1.896449, -2.5393019, -2.3782983, 2.1150985, 3.934679, -0.7732538, 1.3591082, -0.47044626, 1.4040657, -0.11366249, -3.0462897, -1.2490606, -1.1996312, 0.4813996, 1.8679603, -0.3495314, -1.1910013, -3.8392804, 0.5459402, -1.6022748, -0.6363451, 0.42899722, -0.7431474, 1.4542229, -0.8791187, -0.073412344, -0.45697534, -1.4065876, -1.3334005, 0.15798932, 0.77662814, -3.0942974, 4.7180214, -2.1129804, 0.7804094, 3.3973303, 0.16562569, 0.82958055, 1.1772937, 0.47720283, 1.443511, -2.108344, -2.5628622, 0.41694754, 1.5349295, -0.94301146, -1.3643363, 2.410459, -0.31054676, 3.4787502, -1.6495079, -1.5547762, -0.16594195, -0.0005457194, 0.9166396, -1.4434748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
SO2,O=S=O,Main,Main,n,Drozdovskaya (18),1.30E+15,15.11,"[-2.6178026, -2.5847244, 2.3014004, -2.0311942, 1.9899375, -0.65852225, -4.3782406, 1.7320877, 3.1358824, 2.4747362, 2.0341501, -0.6153729, 1.4610838, 0.120616995, 3.8401043, 0.34460425, -2.2231548, 1.4646754, 1.4291186, 0.57776666, -1.3846784, 1.5754464, 0.42547995, 0.29820347, -1.9760079, 2.4347963, -2.0723414, -0.10966073, 0.32902727, 0.08836332, -0.2286008, -2.7874608, 2.2616866, 0.7658025, 0.6824516, 0.22115368, 0.6282793, 1.2694459, -0.46024063, 1.4150827, -2.6362653, -2.534671, 0.16847154, 0.57467824, 0.11098297, -2.3503442, 2.1071615, -1.938621, -1.4596477, 4.06392, -1.4995849, -1.6350868, -0.35199055, 3.011463, -0.39127246, -0.055063978, -5.1746845, -0.69045377, -0.2568066, -1.114102, -1.9251132, 2.798351, 1.2823781, 3.1374803, -0.8333368, -1.5264914, 1.6157582, -0.3153533, 1.1812856, -1.2668377]","[-2.6178026, -2.5847244, 2.3014004, -2.0311942, 1.9899375, -0.65852225, -4.3782406, 1.7320877, 3.1358824, 2.4747362, 2.0341501, -0.6153729, 1.4610838, 0.120616995, 3.8401043, 0.34460425, -2.2231548, 1.4646754, 1.4291186, 0.57776666, -1.3846784, 1.5754464, 0.42547995, 0.29820347, -1.9760079, 2.4347963, -2.0723414, -0.10966073, 0.32902727, 0.08836332, -0.2286008, -2.7874608, 2.2616866, 0.7658025, 0.6824516, 0.22115368, 0.6282793, 1.2694459, -0.46024063, 1.4150827, -2.6362653, -2.534671, 0.16847154, 0.57467824, 0.11098297, -2.3503442, 2.1071615, -1.938621, -1.4596477, 4.06392, -1.4995849, -1.6350868, -0.35199055, 3.011463, -0.39127246, -0.055063978, -5.1746845, -0.69045377, -0.2568066, -1.114102, -1.9251132, 2.798351, 1.2823781, 3.1374803, -0.8333368, -1.5264914, 1.6157582, -0.3153533, 1.1812856, -1.2668377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
