smiles,source,N,logN,vectors
[2H]C(N)=O,Coutens et al. (16),2.10E+14,14.32221929,"[-2.4563138, -0.72862643, -0.71998954, -1.5192794, 3.8396237, -0.14258707, -3.0525224, 1.5459265, 3.180367, 1.8833569, 2.2407663, -0.5257039, 0.17874894, 0.62809086, 4.2205954, 0.5717315, -3.1852083, 1.1782881, 3.2452793, -1.4335455, -0.21801451, 0.7329906, 3.1115766, -0.67863274, -2.6178727, -2.5996182, -0.9938825, 0.88576806, 0.6055463, -0.39033148, -1.0327559, -2.9769778, -0.2920967, 0.09813662, -1.0633028, -1.68193, -1.0914121, 2.2589586, 0.12624733, -0.63083255, -0.21756035, -3.7739682, 0.35930288, -2.5757194, 0.56816614, -1.8616567, 2.0186372, -0.799405, 0.7565955, 0.6868586, -1.3729148, -0.76207733, 1.7080004, 1.6419435, 3.055382, 1.4027374, -2.5965729, -1.7561722, 1.8295156, -0.58683336, -0.80319774, 1.3917899, 0.010473192, 2.7402854, -1.6192669, 0.018550843, -1.3043242, -0.44264758, -1.983428, -0.8414209, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 0, 1]"
N[13CH]=O,Coutens et al. (16),1.50E+14,14.17609126,"[-2.4563138, -0.72862643, -0.71998954, -1.5192794, 3.8396237, -0.14258707, -3.0525224, 1.5459265, 3.180367, 1.8833569, 2.2407663, -0.5257039, 0.17874894, 0.62809086, 4.2205954, 0.5717315, -3.1852083, 1.1782881, 3.2452793, -1.4335455, -0.21801451, 0.7329906, 3.1115766, -0.67863274, -2.6178727, -2.5996182, -0.9938825, 0.88576806, 0.6055463, -0.39033148, -1.0327559, -2.9769778, -0.2920967, 0.09813662, -1.0633028, -1.68193, -1.0914121, 2.2589586, 0.12624733, -0.63083255, -0.21756035, -3.7739682, 0.35930288, -2.5757194, 0.56816614, -1.8616567, 2.0186372, -0.799405, 0.7565955, 0.6868586, -1.3729148, -0.76207733, 1.7080004, 1.6419435, 3.055382, 1.4027374, -2.5965729, -1.7561722, 1.8295156, -0.58683336, -0.80319774, 1.3917899, 0.010473192, 2.7402854, -1.6192669, 0.018550843, -1.3043242, -0.44264758, -1.983428, -0.8414209, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 0, 0]"
C#N,Drozdovskaya (19),5.00E+16,16.7,"[0.24084035, 1.1850275, 1.4768881, -0.5489886, 0.8776835, 0.32739085, -0.9186912, 1.062864, 1.4168923, 0.8330387, 0.7542119, -0.11261308, 0.9641727, 0.8769268, 1.6800431, -0.37678176, -1.1836176, 0.70213616, 2.2022004, 0.16623636, -0.16458704, 0.37047297, 0.9832332, 0.8550016, -0.75705147, -1.3546586, -0.2493047, 1.5337241, 2.4265752, -0.35732144, 1.0522097, -1.0031705, -1.0249472, -0.15501952, 0.015276853, 0.60908747, -1.2160578, 2.218, -1.6547005, 0.46945792, -0.44718245, -0.92977506, 0.34022564, 0.31824893, 0.45099068, -0.07785222, -0.0077953786, -1.6508365, 0.39765665, 1.1066933, 0.237109, -1.1732696, 1.1808975, -0.8770758, 1.3032705, 0.056833506, -1.7642137, -0.5723899, -1.2090381, -0.2778296, 0.55163205, 0.4341292, 1.7771662, 2.6973338, 0.34623176, -0.21547279, -1.7550762, 0.2513418, -1.4004864, 0.09281626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
C#[15N],Drozdovskaya (19),2.50E+14,14.39794001,"[0.24084035, 1.1850275, 1.4768881, -0.5489886, 0.8776835, 0.32739085, -0.9186912, 1.062864, 1.4168923, 0.8330387, 0.7542119, -0.11261308, 0.9641727, 0.8769268, 1.6800431, -0.37678176, -1.1836176, 0.70213616, 2.2022004, 0.16623636, -0.16458704, 0.37047297, 0.9832332, 0.8550016, -0.75705147, -1.3546586, -0.2493047, 1.5337241, 2.4265752, -0.35732144, 1.0522097, -1.0031705, -1.0249472, -0.15501952, 0.015276853, 0.60908747, -1.2160578, 2.218, -1.6547005, 0.46945792, -0.44718245, -0.92977506, 0.34022564, 0.31824893, 0.45099068, -0.07785222, -0.0077953786, -1.6508365, 0.39765665, 1.1066933, 0.237109, -1.1732696, 1.1808975, -0.8770758, 1.3032705, 0.056833506, -1.7642137, -0.5723899, -1.2090381, -0.2778296, 0.55163205, 0.4341292, 1.7771662, 2.6973338, 0.34623176, -0.21547279, -1.7550762, 0.2513418, -1.4004864, 0.09281626, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
CC#N,Calcutt et al. (2018b),4.00E+16,16.6,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
[13CH3]C#N,Calcutt et al. (2018b),6.00E+14,14.77815125,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0]"
C[13C]#N,Calcutt et al. (2018b),5.00E+14,14.69897,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CC#[15N],Calcutt et al. (2018b),1.60E+14,14.20411998,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
[2H]CC#N,Calcutt et al. (2018b),1.40E+15,15.14612804,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0]"
[2H]C([2H])C#N,Calcutt et al. (2018b),2.00E+14,14.30103,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 1, 0]"
[C-]#[N+]C,Calcutt et al. (2018a),2.00E+14,14.3,"[1.7677851, 1.3411903, 3.8962622, -0.18577722, 1.8336791, 1.2973537, -0.800772, 3.0495481, 8.013187, 2.8528552, -0.33057085, -0.49792185, -1.0866085, 0.21740593, 1.323304, -1.6186014, -0.95913345, 1.4668767, 3.4986954, 0.48272288, -0.7091788, 0.17715898, 1.8455718, 1.1461829, -0.14519268, -1.8733234, 0.8892472, 3.662121, 2.230974, -1.9181478, 0.38069728, -1.2018962, 2.808406, -2.90904, -6.343677, 1.5802416, -1.5679412, 5.085573, -1.0183126, 0.6537627, 0.49880266, -2.5247548, 0.7138658, -0.4665982, -1.1669912, -0.4672428, -0.49164677, 0.12345032, -0.6138634, 0.99098986, -0.6943945, 0.37716144, 0.6026509, -0.86865497, 0.7945523, -0.48042956, -2.5727186, -0.63562524, -1.2183458, -1.9915338, -1.0327593, 0.1018864, 3.163569, 4.171684, -0.06983541, 3.1973033, -3.906393, 1.0964828, 0.31257957, -2.9797087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
N=C=O,Ligertink et al. (2017),3.70E+16,16.57,"[1.1731429, 1.759617, 1.6519883, -2.2019446, 5.31933, 0.13222733, -3.6397645, 0.7863431, 3.8706164, 1.3431144, 3.3702781, -2.2723212, 2.13905, 0.18667173, 5.2243533, -2.482027, 0.5118701, -0.8195801, 1.2618035, -1.4777672, -1.2640878, 1.9030118, 2.2569203, 0.74515444, -2.3345497, -1.620529, -1.9321651, 2.2188728, 2.3697293, -1.1404347, 0.9393227, -2.306081, 1.8336453, -0.12585993, 0.22465266, -0.7150615, 0.3811956, 2.8263402, -1.0450286, 0.678941, 0.36114144, -3.9098833, -1.2646466, -1.1215919, 2.01369, -2.466803, 2.8776429, -2.1838796, -0.36202866, 3.260137, 0.8607464, -0.3000872, 1.8502742, 2.1648386, 2.29276, -1.6607336, -3.6752806, -0.81362706, -3.2301774, -0.16641682, 0.27192628, -0.26870936, 1.0029578, 2.5426304, -0.76277995, -2.598854, -1.2505009, -0.93003744, -1.0955672, -2.4642215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
[2H]N=C=O,Coutens et al. (16),3.00E+14,14.47712125,"[1.1731429, 1.759617, 1.6519883, -2.2019446, 5.31933, 0.13222733, -3.6397645, 0.7863431, 3.8706164, 1.3431144, 3.3702781, -2.2723212, 2.13905, 0.18667173, 5.2243533, -2.482027, 0.5118701, -0.8195801, 1.2618035, -1.4777672, -1.2640878, 1.9030118, 2.2569203, 0.74515444, -2.3345497, -1.620529, -1.9321651, 2.2188728, 2.3697293, -1.1404347, 0.9393227, -2.306081, 1.8336453, -0.12585993, 0.22465266, -0.7150615, 0.3811956, 2.8263402, -1.0450286, 0.678941, 0.36114144, -3.9098833, -1.2646466, -1.1215919, 2.01369, -2.466803, 2.8776429, -2.1838796, -0.36202866, 3.260137, 0.8607464, -0.3000872, 1.8502742, 2.1648386, 2.29276, -1.6607336, -3.6752806, -0.81362706, -3.2301774, -0.16641682, 0.27192628, -0.26870936, 1.0029578, 2.5426304, -0.76277995, -2.598854, -1.2505009, -0.93003744, -1.0955672, -2.4642215, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0]"
N=[13C]=O,Coutens et al. (16),4.00E+14,14.60205999,"[1.1731429, 1.759617, 1.6519883, -2.2019446, 5.31933, 0.13222733, -3.6397645, 0.7863431, 3.8706164, 1.3431144, 3.3702781, -2.2723212, 2.13905, 0.18667173, 5.2243533, -2.482027, 0.5118701, -0.8195801, 1.2618035, -1.4777672, -1.2640878, 1.9030118, 2.2569203, 0.74515444, -2.3345497, -1.620529, -1.9321651, 2.2188728, 2.3697293, -1.1404347, 0.9393227, -2.306081, 1.8336453, -0.12585993, 0.22465266, -0.7150615, 0.3811956, 2.8263402, -1.0450286, 0.678941, 0.36114144, -3.9098833, -1.2646466, -1.1215919, 2.01369, -2.466803, 2.8776429, -2.1838796, -0.36202866, 3.260137, 0.8607464, -0.3000872, 1.8502742, 2.1648386, 2.29276, -1.6607336, -3.6752806, -0.81362706, -3.2301774, -0.16641682, 0.27192628, -0.26870936, 1.0029578, 2.5426304, -0.76277995, -2.598854, -1.2505009, -0.93003744, -1.0955672, -2.4642215, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0]"
C#CC#N,Calcutt et al. (2018b),1.80E+14,14.26,"[0.7277442, 2.8644364, 3.0409722, -2.1204135, 3.3342988, 0.18980509, -4.5212507, 2.029134, 4.5667067, 0.5247997, 2.1547637, -1.2088826, 3.4766173, 3.3421047, 5.2463746, 0.31186566, -2.2938864, 1.074363, 3.0300717, 1.2188185, -0.6884911, 0.80202454, 3.0037272, 3.2202432, -3.9475803, -3.9747112, -3.0278525, 5.1459837, 5.631748, -0.85694456, 3.5106127, -1.8686404, -3.2240415, -0.18357022, -0.7048639, 2.3796823, -4.5568695, 6.5648985, -2.2730124, 1.0777122, -0.27881604, -2.472899, 0.6641351, 0.8381934, 2.3691652, -2.4358675, 0.34269693, -4.060506, -0.843066, 3.3476067, -0.43997645, -2.0887914, 3.1695106, -1.509241, 3.8365273, 0.14971364, -3.729444, -2.2345648, -6.460208, -0.29413676, 2.787245, 0.056478634, 5.4853554, 8.78465, -0.5632491, -1.4244844, -6.825921, 1.948381, -4.3963594, 0.17333844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
S,Drozdovskaya (18),1.70E+17,17.23,"[0.20140675, -0.04654868, 0.8073308, 0.045414187, 0.09613168, -0.12031608, 0.14828144, 0.47588614, 0.45902818, 0.27420023, 0.07977503, 0.037978236, 0.44111612, -0.39315897, 0.41995603, 0.094958596, 0.22865425, 0.07599921, 0.8120586, -0.1034236, 0.26568073, 0.6046874, 0.08120744, -0.18248412, -0.26997998, 0.060169008, -0.13382767, 0.111945726, 0.07878454, -0.443991, -0.13648634, 0.31299195, 0.041147456, 0.102714956, 0.02969558, -0.25659218, 0.28488755, 0.10703696, 0.23794806, 0.5342997, -0.37350345, -0.6043562, 0.043441083, -0.6723531, -0.0066935495, 0.00994005, 0.30479088, -0.6309378, -0.050040428, 0.4595433, -0.27859536, -0.3439755, -0.09977434, 0.5904285, 0.40163848, 0.08437367, -0.8834698, 0.63406366, 0.49671638, 0.0053654932, -0.6324172, 0.62030643, 0.33194265, 0.45001224, 0.61326414, -0.7429992, -0.09777814, 0.13409533, 0.11735581, -0.16358614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[2H]S,Drozdovskaya et al. (18),1.60E+16,16.20411998,"[0.20140675, -0.04654868, 0.8073308, 0.045414187, 0.09613168, -0.12031608, 0.14828144, 0.47588614, 0.45902818, 0.27420023, 0.07977503, 0.037978236, 0.44111612, -0.39315897, 0.41995603, 0.094958596, 0.22865425, 0.07599921, 0.8120586, -0.1034236, 0.26568073, 0.6046874, 0.08120744, -0.18248412, -0.26997998, 0.060169008, -0.13382767, 0.111945726, 0.07878454, -0.443991, -0.13648634, 0.31299195, 0.041147456, 0.102714956, 0.02969558, -0.25659218, 0.28488755, 0.10703696, 0.23794806, 0.5342997, -0.37350345, -0.6043562, 0.043441083, -0.6723531, -0.0066935495, 0.00994005, 0.30479088, -0.6309378, -0.050040428, 0.4595433, -0.27859536, -0.3439755, -0.09977434, 0.5904285, 0.40163848, 0.08437367, -0.8834698, 0.63406366, 0.49671638, 0.0053654932, -0.6324172, 0.62030643, 0.33194265, 0.45001224, 0.61326414, -0.7429992, -0.09777814, 0.13409533, 0.11735581, -0.16358614, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[2H][34SH],Drozdovskaya et al. (18),1.00E+15,15,"[0.20140675, -0.04654868, 0.8073308, 0.045414187, 0.09613168, -0.12031608, 0.14828144, 0.47588614, 0.45902818, 0.27420023, 0.07977503, 0.037978236, 0.44111612, -0.39315897, 0.41995603, 0.094958596, 0.22865425, 0.07599921, 0.8120586, -0.1034236, 0.26568073, 0.6046874, 0.08120744, -0.18248412, -0.26997998, 0.060169008, -0.13382767, 0.111945726, 0.07878454, -0.443991, -0.13648634, 0.31299195, 0.041147456, 0.102714956, 0.02969558, -0.25659218, 0.28488755, 0.10703696, 0.23794806, 0.5342997, -0.37350345, -0.6043562, 0.043441083, -0.6723531, -0.0066935495, 0.00994005, 0.30479088, -0.6309378, -0.050040428, 0.4595433, -0.27859536, -0.3439755, -0.09977434, 0.5904285, 0.40163848, 0.08437367, -0.8834698, 0.63406366, 0.49671638, 0.0053654932, -0.6324172, 0.62030643, 0.33194265, 0.45001224, 0.61326414, -0.7429992, -0.09777814, 0.13409533, 0.11735581, -0.16358614, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
O=C=S,Drozdovskaya (18),2.50E+17,17.4,"[0.6375394, 0.06093948, 1.8493009, -1.823439, 4.784813, -0.9700305, -2.4398744, 1.0458803, 4.052808, 0.4944261, 3.267141, -1.7498877, 1.6431713, 1.0250554, 2.3671956, -1.6380303, -0.14845738, -0.95537096, 2.1437144, 0.380724, -0.929386, 1.8057785, 0.0767657, 0.6631137, -1.0622199, -0.35589564, -3.2845066, 3.1444664, 1.4019802, -0.52900857, 2.0071814, -2.3149455, 1.9610368, -0.48781222, -0.5524031, -0.070823975, -2.030549, 1.6609149, -0.71052814, 0.67177653, 0.00503242, -3.485488, -0.875135, -2.4567213, 2.126811, -3.737035, 2.4160323, -2.9781845, -2.441307, 4.918736, 0.6229025, 1.2702608, 1.9526482, 2.0428987, 1.8883069, -0.35780117, -2.4356425, 0.84822935, -1.8760813, -0.2406574, 0.20543325, 0.09032233, 1.5429279, 3.6100762, 0.35548672, -3.771885, -0.8027725, 0.62923384, 0.06883311, -1.3867384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
O=[13C]=S,Drozdovskaya et al. (18),5.00E+15,15.69897,"[0.6375394, 0.06093948, 1.8493009, -1.823439, 4.784813, -0.9700305, -2.4398744, 1.0458803, 4.052808, 0.4944261, 3.267141, -1.7498877, 1.6431713, 1.0250554, 2.3671956, -1.6380303, -0.14845738, -0.95537096, 2.1437144, 0.380724, -0.929386, 1.8057785, 0.0767657, 0.6631137, -1.0622199, -0.35589564, -3.2845066, 3.1444664, 1.4019802, -0.52900857, 2.0071814, -2.3149455, 1.9610368, -0.48781222, -0.5524031, -0.070823975, -2.030549, 1.6609149, -0.71052814, 0.67177653, 0.00503242, -3.485488, -0.875135, -2.4567213, 2.126811, -3.737035, 2.4160323, -2.9781845, -2.441307, 4.918736, 0.6229025, 1.2702608, 1.9526482, 2.0428987, 1.8883069, -0.35780117, -2.4356425, 0.84822935, -1.8760813, -0.2406574, 0.20543325, 0.09032233, 1.5429279, 3.6100762, 0.35548672, -3.771885, -0.8027725, 0.62923384, 0.06883311, -1.3867384, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0]"
O=C=[34S],Drozdovskaya et al. (18),1.00E+16,16,"[0.6375394, 0.06093948, 1.8493009, -1.823439, 4.784813, -0.9700305, -2.4398744, 1.0458803, 4.052808, 0.4944261, 3.267141, -1.7498877, 1.6431713, 1.0250554, 2.3671956, -1.6380303, -0.14845738, -0.95537096, 2.1437144, 0.380724, -0.929386, 1.8057785, 0.0767657, 0.6631137, -1.0622199, -0.35589564, -3.2845066, 3.1444664, 1.4019802, -0.52900857, 2.0071814, -2.3149455, 1.9610368, -0.48781222, -0.5524031, -0.070823975, -2.030549, 1.6609149, -0.71052814, 0.67177653, 0.00503242, -3.485488, -0.875135, -2.4567213, 2.126811, -3.737035, 2.4160323, -2.9781845, -2.441307, 4.918736, 0.6229025, 1.2702608, 1.9526482, 2.0428987, 1.8883069, -0.35780117, -2.4356425, 0.84822935, -1.8760813, -0.2406574, 0.20543325, 0.09032233, 1.5429279, 3.6100762, 0.35548672, -3.771885, -0.8027725, 0.62923384, 0.06883311, -1.3867384, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
O=C=[33S],Drozdovskaya et al. (18),3.00E+15,15.47712125,"[0.6375394, 0.06093948, 1.8493009, -1.823439, 4.784813, -0.9700305, -2.4398744, 1.0458803, 4.052808, 0.4944261, 3.267141, -1.7498877, 1.6431713, 1.0250554, 2.3671956, -1.6380303, -0.14845738, -0.95537096, 2.1437144, 0.380724, -0.929386, 1.8057785, 0.0767657, 0.6631137, -1.0622199, -0.35589564, -3.2845066, 3.1444664, 1.4019802, -0.52900857, 2.0071814, -2.3149455, 1.9610368, -0.48781222, -0.5524031, -0.070823975, -2.030549, 1.6609149, -0.71052814, 0.67177653, 0.00503242, -3.485488, -0.875135, -2.4567213, 2.126811, -3.737035, 2.4160323, -2.9781845, -2.441307, 4.918736, 0.6229025, 1.2702608, 1.9526482, 2.0428987, 1.8883069, -0.35780117, -2.4356425, 0.84822935, -1.8760813, -0.2406574, 0.20543325, 0.09032233, 1.5429279, 3.6100762, 0.35548672, -3.771885, -0.8027725, 0.62923384, 0.06883311, -1.3867384, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
[18O]=C=S,Drozdovskaya et al. (18),5.00E+14,14.69897,"[0.6375394, 0.06093948, 1.8493009, -1.823439, 4.784813, -0.9700305, -2.4398744, 1.0458803, 4.052808, 0.4944261, 3.267141, -1.7498877, 1.6431713, 1.0250554, 2.3671956, -1.6380303, -0.14845738, -0.95537096, 2.1437144, 0.380724, -0.929386, 1.8057785, 0.0767657, 0.6631137, -1.0622199, -0.35589564, -3.2845066, 3.1444664, 1.4019802, -0.52900857, 2.0071814, -2.3149455, 1.9610368, -0.48781222, -0.5524031, -0.070823975, -2.030549, 1.6609149, -0.71052814, 0.67177653, 0.00503242, -3.485488, -0.875135, -2.4567213, 2.126811, -3.737035, 2.4160323, -2.9781845, -2.441307, 4.918736, 0.6229025, 1.2702608, 1.9526482, 2.0428987, 1.8883069, -0.35780117, -2.4356425, 0.84822935, -1.8760813, -0.2406574, 0.20543325, 0.09032233, 1.5429279, 3.6100762, 0.35548672, -3.771885, -0.8027725, 0.62923384, 0.06883311, -1.3867384, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CS,Drozdovskaya (18),4.80E+15,15.68,"[0.12197143, -0.8422973, 0.98373085, -0.3190415, 2.0193026, 0.13271087, 0.3706596, -0.26867807, 1.813674, 0.6940913, 0.25266734, 0.9103632, 0.80781734, -0.49014238, 0.3051638, 0.0779831, -0.95351934, -0.4035931, 1.8341382, -0.4300164, -0.06929227, 0.3870359, 0.52006596, 0.15383503, -0.84774315, -0.80891114, -0.102948904, -0.32509777, 1.1285473, -0.33360648, 1.5846939, -1.1335045, 0.9050797, 0.10075316, -0.24008018, -0.52648807, 0.2531964, 1.1487241, -0.3266168, 1.3534532, -1.779571, -1.5367223, -0.7557629, -1.3295292, 0.9486589, -1.5194931, 0.84401345, -1.0961343, 0.7020768, 0.47679487, -0.48056683, -0.5477466, -0.3491007, 0.6435635, 0.41557574, 0.36590034, -1.2927313, -0.0011483133, 0.8760336, 0.2296283, -1.3812537, 0.6999774, 0.88832784, 1.8668387, 0.85982513, -0.68679583, -0.08239105, 0.3894412, 0.81389195, 0.19890732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
