smiles,prediction,sd,num c,num h,num s ,num o,num n,heavy atoms,dou,mass
C#COC,16.71152042,1.807008716,3,4,0,1,0,4,2,56.064
COCC=O,16.69243558,1.368759314,3,6,0,2,0,5,1,74.079
N,16.680304,1.048191173,0,3,0,0,1,1,0,17.031
O=COCCO,16.65405048,1.861908534,3,6,0,3,0,6,1,90.078
COCCC=O,16.65395947,1.771135263,4,8,0,2,0,6,1,88.106
O/C=C\CCO,16.64314158,1.725939574,4,8,0,2,0,6,1,88.106
N#N,16.62093383,1.279981948,0,0,0,0,2,2,2,28.014
C#CO,16.60519722,1.757437631,2,2,0,1,0,3,2,42.037
O=O,16.56833398,1.438562115,0,0,0,2,0,2,1,31.998
C/C=C\CC=O,16.54404023,1.816640218,5,8,0,1,0,6,2,84.118
CC=CO,16.5114998,1.386204839,3,6,0,1,0,4,1,58.08
CCOC=O,16.48710186,1.625754784,3,6,0,2,0,5,1,74.079
C=COC,16.48420068,1.352164359,3,6,0,1,0,4,1,58.08
S=C=S,16.46474082,1.785302738,1,0,2,0,0,3,2,76.145
CC=CCCO,16.39984068,1.87230377,5,10,0,1,0,6,1,86.134
COC=S=O,16.39745385,1.944055118,2,4,1,2,0,5,1,92.119
O=C=NO,16.36050854,1.926940629,1,1,0,2,1,4,2,59.024
CCCOC,16.35773731,1.292833519,4,10,0,1,0,5,0,74.123
O=CCC=O,16.31189339,1.378156175,3,4,0,2,0,5,2,72.063
CCC,16.29123984,1.209304351,3,8,0,0,0,3,0,44.097
O=C=S=O,16.27462874,1.452682855,1,0,1,2,0,4,2,76.076
CC=CC,16.26819871,1.745055521,4,8,0,0,0,4,1,56.108
CO/C=C\N,16.25002641,1.933398508,3,7,0,1,1,5,1,73.095
NO,16.21586386,1.32804902,0,3,0,1,1,2,0,33.03
OCOCO,16.20670889,1.467251061,2,6,0,3,0,5,0,78.067
C=CC=COC,16.20100632,1.90744412,5,8,0,1,0,6,2,84.118
O=CCCO,16.16769343,1.097438403,3,6,0,2,0,5,1,74.079
CCCOC=O,16.12771094,1.838348667,4,8,0,2,0,6,1,88.106
CCC/C=C\O,16.1168022,1.833542782,5,10,0,1,0,6,1,86.134
COCCC#N,16.06381895,1.822255977,4,7,0,1,1,6,2,85.106
COCCCO,16.02103942,1.706319834,4,10,0,2,0,6,0,90.122
OCCOCO,15.99028167,1.715054714,3,8,0,3,0,6,0,92.094
COCC#N,15.96155203,1.432120011,3,5,0,1,1,5,2,71.079
O=CCCC=O,15.93757574,1.980071992,4,6,0,2,0,6,2,86.09
C=CCOC,15.88130353,1.693708106,4,8,0,1,0,5,1,72.107
CC/C=C\O,15.88119587,1.492695965,4,8,0,1,0,5,1,72.107
CC=CCCC,15.87350059,1.95537781,6,12,0,0,0,6,1,84.162
C#C,15.8729599,1.282866229,2,2,0,0,0,2,2,26.038
CCCO,15.87147089,0.843637709,3,8,0,1,0,4,0,60.096
C=COCO,15.84754975,1.918183861,3,6,0,2,0,5,1,74.079
CCOCO,15.82333317,1.448579402,3,8,0,2,0,5,0,76.095
O=CCOCO,15.79863975,1.945869316,3,6,0,3,0,6,1,90.078
